location,year,catch,direct_consumption,fishmeal_and_fish_oil,other_usage
Australia,2018,252117.5402234269,251946.71770322893,85.411260099,85.411260099
Bangladesh,1950,209911.02839968007,209882.82839967604,14.100000001999994,14.100000001999994
Bangladesh,1951,208233.826299294,208205.626299288,14.100000002999998,14.100000002999998
Bangladesh,1952,209352.630399382,209324.43039938,14.100000001000002,14.100000001000002
Bangladesh,1953,217500.59600048003,217465.34600048003,17.625000000000004,17.625000000000004
Bangladesh,1954,225621.06339924407,225578.76339924007,21.150000002,21.150000002
Bangladesh,1955,226669.67199946,226627.37199946,21.149999999999995,21.149999999999995
Bangladesh,1956,227689.708199582,227647.40819957995,21.150000000999995,21.150000000999995
Bangladesh,1957,235728.59409711,235679.24409711,24.675,24.675
Bangladesh,1958,236691.48569705,236642.13569705,24.675,24.675
Bangladesh,1959,244671.6693996201,244615.26939962004,28.199999999999992,28.199999999999992
Bangladesh,1960,250408.663698238,250352.26369824,28.199999999000003,28.199999999000003
Bangladesh,1961,268172.79069722205,268109.34123215004,31.724732536,31.724732536
Bangladesh,1962,274957.271006598,274886.77233047003,35.24933806399999,35.24933806399999
Bangladesh,1963,277238.1953008139,277167.6977725299,35.248764142,35.248764142
Bangladesh,1964,286549.67760473,286472.13116349,38.77322062,38.77322062
Bangladesh,1965,295835.43409595994,295750.83849341,42.29780127500001,42.29780127500001
Bangladesh,1966,297592.33560172794,297507.74052452995,42.297538599000006,42.297538599000006
Bangladesh,1967,299314.75690273807,299230.15690274007,42.29999999899999,42.29999999899999
Bangladesh,1968,308043.5677998759,307951.91779987,45.825000003,45.825000003
Bangladesh,1969,309679.6814103981,309588.03141040006,45.824999999000006,45.824999999000006
Bangladesh,1970,319521.73379862384,319418.15754862985,51.78812499700001,51.78812499700001
Bangladesh,1971,325584.60826475604,325481.30226475,51.65300000299999,51.65300000299999
Bangladesh,1972,347689.61443345394,347589.4407142499,50.08685960199999,50.08685960199999
Bangladesh,1973,353559.0630353961,353458.05451315007,50.504261123000006,50.504261123000006
Bangladesh,1974,363675.815867308,363573.89662317006,50.959622069,50.959622069
Bangladesh,1975,370575.2821202338,370466.5568558198,54.362632207,54.362632207
Bangladesh,1976,387751.59990181786,387637.3081317699,57.145885024,57.145885024
Bangladesh,1977,403344.49031431903,403218.782096021,62.85410914900001,62.85410914900001
Bangladesh,1978,417818.9258501289,417684.226339073,67.34975552800002,67.34975552800002
Bangladesh,1979,420679.7710027531,420545.6410931932,67.06495478000001,67.06495478000001
Bangladesh,1980,428253.0818265459,428114.8368786799,69.12247393299998,69.12247393299998
Bangladesh,1981,434093.4375782779,433956.05849564,68.689541319,68.689541319
Bangladesh,1982,443907.423417754,443760.99009976,73.21665899700002,73.21665899700002
Bangladesh,1983,459820.5075669922,459660.92511554016,79.79122572599998,79.79122572599998
Bangladesh,1984,501211.39640712994,501016.29592183,97.55024264999996,97.55024264999996
Bangladesh,1985,539638.931020012,539417.9957038901,110.46765806099998,110.46765806099998
Bangladesh,1986,555790.075935168,555541.8867839898,124.094575589,124.094575589
Bangladesh,1987,585815.471455428,585537.5610642,138.955195614,138.955195614
Bangladesh,1988,603832.465588698,603544.8267853,143.81940169899997,143.81940169899997
Bangladesh,1989,608092.7805908038,607796.3547676299,148.21291158699995,148.21291158699995
Bangladesh,1990,616808.3882121111,616431.3371547591,232.559938832,144.49111851999996
Bangladesh,1991,625487.4339027789,624998.4853869299,339.642158962,149.306356887
Bangladesh,1992,652665.427070601,652039.057844419,466.585085763,159.78414041899998
Bangladesh,1993,693257.7011782662,692461.2281297002,616.9686492919999,179.50439927399995
Bangladesh,1994,624111.7126467401,623242.2398860111,725.8992384360001,143.57352229300002
Bangladesh,1995,639303.058867365,638261.6168095,891.413700799,150.02835706600004
Bangladesh,1996,657791.041310666,656565.0852005,1070.29962146,155.656488706
Bangladesh,1997,675356.9827242406,673923.8092339997,1267.636286835,165.53720340599995
Bangladesh,1998,685236.1474896302,683589.9242973002,1474.988193816,171.234998514
Bangladesh,1999,693038.420111707,691166.2758307,1695.874874855,176.26940615199996
Bangladesh,2000,718163.734535498,716033.7735453999,1939.8084468740003,190.152543224
Bangladesh,2001,770739.5073980703,768312.0280401002,2210.6919289719995,216.787428998
Bangladesh,2002,811624.148958327,808897.0886335,2489.705791377,237.35453345
Bangladesh,2003,825677.156454273,822780.6139293001,2648.8449539709995,247.69757100200005
Bangladesh,2004,850111.6339340738,847042.5792253899,2807.751846336,261.302862348
Bangladesh,2005,869571.3201261228,866337.7595250999,2960.908331952,272.652269071
Bangladesh,2006,879184.0976141131,875966.1656791001,2939.1159050690003,278.816029944
Bangladesh,2007,885427.558949282,881562.501876,3583.582724321,281.474348961
Bangladesh,2008,893625.595822076,889748.0714046,3590.089583922,287.434833554
Bangladesh,2009,1020427.1390300798,1017065.2044097,3010.3887478960005,351.5458724839999
Bangladesh,2010,1015716.3408154742,1012072.1836603002,3291.098827492,353.058327682
Bangladesh,2011,953012.464217818,949419.2943678,3274.972383600999,318.1974664170001
Bangladesh,2012,1019266.516487246,1015252.1804308,3673.2203058650007,341.115750581
Bangladesh,2013,1026732.065511346,1024349.0965337,2031.238923154,351.730054492
Bangladesh,2014,1031204.6753596948,1028640.4262628,2208.6674460500008,355.581650845
Bangladesh,2015,1034442.037574792,1032058.2182718,2024.4218152050005,359.3974877870001
Bangladesh,2016,1071635.978253448,1070873.2637185,381.357267474,381.357267474
Bangladesh,2017,1081722.352478824,1080948.9658491,386.693314862,386.693314862
Bangladesh,2018,1105760.7617775,1104968.679685,396.04104625,396.04104625
Belgium,1950,87902.71354175598,87841.18622669997,30.763657528000007,30.763657528000007
Belgium,1951,88356.924543432,88298.83798192,29.04328075600001,29.04328075600001
Belgium,1952,107647.73375086398,107573.79210392998,36.970823467,36.970823467
Belgium,1953,108773.820816596,108697.45609221,38.182362193,38.182362193
Belgium,1954,108130.92639493202,108053.73156684,38.597414046,38.597414046
Belgium,1955,113213.72232409062,113134.638350567,39.54198676179999,39.54198676179999
Belgium,1956,104652.49195112698,104584.32399020296,34.08398046199999,34.08398046199999
Belgium,1957,87928.8904102878,87866.89684635101,30.9967819684,30.9967819684
Belgium,1958,90525.36695363498,90462.123478971,31.62173733200001,31.62173733200001
Belgium,1959,84668.368575501,84610.112000291,29.128287605000004,29.128287605000004
Belgium,1960,88835.96014341699,88772.15347278498,31.903335316,31.903335316
Belgium,1961,88173.64783491401,88112.43549003202,30.60617244099999,30.60617244099999
Belgium,1962,85008.82141538197,84949.72104092198,29.550187229999995,29.550187229999995
Belgium,1963,93644.556117719,93583.305699819,30.62520895,30.62520895
